,edit_count,sentiment,neg_sentiment
2018-02-13,3.1666666666666665,-0.23852041898502244,0.5961111111111111
2018-02-18,2.7333333333333334,-0.27391608249810007,0.6138888888888889
2018-02-21,2.7666666666666666,-0.3068085841834545,0.6305555555555556
2018-02-24,2.8333333333333335,-0.3016980342566967,0.6305555555555556
2018-02-25,2.8333333333333335,-0.30289991357260276,0.6305555555555554
2018-02-26,2.8333333333333335,-0.3611237631075912,0.6638888888888889
2018-03-03,2.8333333333333335,-0.3610532726678583,0.6638888888888889
2018-03-08,2.8333333333333335,-0.33472958165738315,0.6472222222222221
2018-03-10,2.9,-0.33454373685850036,0.6499999999999999
2018-03-11,3.0,-0.3530740445686711,0.6583333333333333
2018-03-21,3.033333333333333,-0.28883346774511864,0.625
2018-03-22,3.033333333333333,-0.2891279266112381,0.625
2018-03-24,3.1,-0.2729441529346837,0.6166666666666667
2018-03-25,3.1,-0.333354952517483,0.65
2018-04-04,3.1,-0.33256689964069264,0.65
2018-04-09,3.033333333333333,-0.37260686283310257,0.6722222222222222
2018-05-29,3.033333333333333,-0.36998741353551545,0.6722222222222222
2018-06-13,3.033333333333333,-0.3699564807116985,0.6722222222222222
2018-06-18,3.066666666666667,-0.3989806078374386,0.6888888888888888
2018-06-24,2.966666666666667,-0.4136843428843552,0.6944444444444445
2018-06-25,3.066666666666667,-0.47010115284058784,0.7277777777777779
2018-06-27,3.0,-0.5116590774556001,0.75
2018-06-28,2.966666666666667,-0.5290119535227616,0.7666666666666667
2018-06-29,2.933333333333333,-0.562587113827467,0.7833333333333333
2018-07-03,2.933333333333333,-0.562587113827467,0.7833333333333333
2018-07-17,2.933333333333333,-0.5634349680443604,0.7833333333333333
2018-07-21,2.933333333333333,-0.5740066226820151,0.7833333333333333
2018-08-02,2.966666666666667,-0.5729989376167456,0.7833333333333333
2018-08-04,2.8666666666666667,-0.5730874207119147,0.7833333333333333
2018-08-17,2.2,-0.5930725500649877,0.7944444444444445
2018-08-18,2.1,-0.5773997521069315,0.7833333333333333
