,open,high,low,close,volume,edit_count,sentiment,neg_sentiment,tomorrow,target
2014-09-17 00:00:00+00:00,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,21056800,5.033333333333333,-0.2321912529047848,0.5327182327476445,424.4400024414063,0
2014-09-18 00:00:00+00:00,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,34483200,5.066666666666666,-0.2327594580229641,0.5327182327476445,394.7959899902344,0
2014-09-19 00:00:00+00:00,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,5.2,-0.2354149949527304,0.5493848994143112,408.9039916992188,1
2014-09-20 00:00:00+00:00,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,36863600,5.2,-0.233185013331624,0.5493848994143112,398.8210144042969,0
2014-09-21 00:00:00+00:00,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,5.233333333333333,-0.2040172131832958,0.5327182327476445,402.1520080566406,1
2014-09-22 00:00:00+00:00,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,5.233333333333333,-0.2040172131832958,0.5327182327476445,435.7909851074219,1
2014-09-23 00:00:00+00:00,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,5.3,-0.1878625399844369,0.5243848994143112,423.2049865722656,0
2014-09-24 00:00:00+00:00,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,30627700,5.233333333333333,-0.2118306977526864,0.5377182327476445,411.5740051269531,0
2014-09-25 00:00:00+00:00,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,4.633333333333334,-0.1973182037827843,0.5297817248111366,404.4249877929688,0
2014-09-26 00:00:00+00:00,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,21460800,4.3,-0.1783063411074354,0.50311505814447,399.5199890136719,0
2014-09-27 00:00:00+00:00,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,3.533333333333333,-0.1689841569421166,0.4971150581444699,377.1809997558594,0
2014-09-28 00:00:00+00:00,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,23613300,3.4,-0.1843412747936918,0.4887817248111366,375.4670104980469,0
2014-09-29 00:00:00+00:00,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700,4.466666666666667,-0.2119112624712563,0.5029231389525507,386.9440002441406,1
2014-09-30 00:00:00+00:00,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300,4.766666666666667,-0.2369482621177177,0.5164079874373992,383.614990234375,0
2014-10-01 00:00:00+00:00,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,5.166666666666667,-0.2503950469886828,0.5235508445802564,375.0719909667969,0
