,edit_count,sentiment,neg_sentiment
2018-05-27,3.533333333333333,-0.022832129873843195,0.4741355431061313
2018-05-28,3.433333333333333,-0.06080087520481269,0.49913554310613134
2018-05-30,3.466666666666667,-0.06081584987840176,0.49913554310613134
2018-06-02,3.466666666666667,-0.060869315244765285,0.49913554310613134
2018-06-10,3.533333333333333,-0.000630249889040524,0.465802209772798
2018-06-14,3.533333333333333,0.057631448595380254,0.4324688764394647
2018-06-26,3.533333333333333,0.028703553168630068,0.44913554310613135
2018-07-17,3.466666666666667,0.06047664502129502,0.4324688764394647
2018-07-27,3.5,0.03750755507613765,0.44913554310613135
2018-08-12,3.466666666666667,-0.020745975585127408,0.4824688764394647
2018-08-19,3.0,-0.05624490407905102,0.5002466542172425
2018-08-30,3.0,-0.049791270770640376,0.5002466542172425
2018-08-31,2.933333333333333,-0.02221122875280963,0.48913554310613133
2018-09-04,2.8666666666666667,-0.0027901645614152536,0.47802443199502026
2018-09-12,2.8666666666666667,-0.06259730817014429,0.5113577653283535
2018-09-25,2.8666666666666667,-0.06713681182398851,0.5113577653283535
2018-10-23,2.966666666666667,-0.07881396473581051,0.519691098661687
2018-11-01,2.933333333333333,-0.04240557016069148,0.5030244319950202
2018-11-05,2.933333333333333,0.01886385221149073,0.4696910986616869
2018-11-11,2.9,-0.01434455574685786,0.48635776532835356
2018-11-26,2.6333333333333333,-0.0703365166432439,0.5159873949579832
2018-12-17,2.466666666666667,-0.12168016754626448,0.5445588235294118
2018-12-26,2.2333333333333334,-0.09275245962579266,0.5320588235294117
2019-01-11,2.1,-0.14396982131440655,0.5587254901960784
2019-01-15,2.066666666666667,-0.1361671113773109,0.5587254901960784
2019-01-19,1.5666666666666667,-0.16902736001544527,0.5783333333333334
2019-01-31,1.4666666666666666,-0.20079561902417079,0.5916666666666667
2019-03-12,1.4666666666666666,-0.25901337497764165,0.625
2019-03-28,1.4666666666666666,-0.20080861283673182,0.5916666666666667
2019-05-08,1.4333333333333333,-0.23232031100326114,0.6083333333333333
2019-05-18,1.4,-0.19523919357193842,0.5916666666666667
2019-05-20,1.4333333333333333,-0.1428367210759057,0.5583333333333333
2019-05-27,1.4,-0.14278930160734388,0.5583333333333333
2019-06-26,1.4333333333333333,-0.14268914295567406,0.5583333333333333
2019-07-19,1.4333333333333333,-0.16240993373923832,0.5694444444444444
2019-08-12,1.4666666666666666,-0.1884078396691216,0.586111111111111
2020-02-04,1.4333333333333333,-0.19027411176098716,0.586111111111111
2020-02-09,1.4,-0.19403659337096743,0.586111111111111
2020-02-17,1.4,-0.2001595659388436,0.586111111111111
2020-02-21,1.4333333333333333,-0.16692114008797537,0.5694444444444444
2020-02-26,1.4333333333333333,-0.15872341129514905,0.5694444444444444
2020-04-04,1.4666666666666666,-0.1651770446035597,0.5694444444444444
2020-04-13,1.4666666666666666,-0.23157371613714428,0.6027777777777777
2020-04-14,1.4666666666666666,-0.2896944416893853,0.6361111111111111
2020-05-13,1.4666666666666666,-0.2953344100051456,0.6361111111111111
2020-06-13,1.5333333333333334,-0.25376197099685666,0.6138888888888889
2020-07-11,1.4666666666666666,-0.2388743867476781,0.6055555555555556
2020-07-20,1.4666666666666666,-0.24556010067462922,0.6055555555555556
2020-08-04,1.4666666666666666,-0.30667035082976024,0.638888888888889
2020-09-09,1.4666666666666666,-0.300943860411644,0.638888888888889
2020-09-15,1.4666666666666666,-0.3019049177567164,0.638888888888889
2020-09-16,1.4666666666666666,-0.26951963305473325,0.6222222222222222
2020-10-23,1.4666666666666666,-0.3349166750907898,0.6555555555555556
2020-10-30,1.5,-0.3019108692804972,0.638888888888889
2020-12-30,1.5,-0.3097559869289398,0.638888888888889
2021-01-20,1.5333333333333334,-0.2725554337104162,0.6166666666666667
2021-01-21,1.5666666666666667,-0.22991307642724781,0.5944444444444444
2021-01-22,1.5666666666666667,-0.2290773736106025,0.5944444444444444
2021-02-04,1.5666666666666667,-0.28732567893134225,0.6277777777777778
2021-02-15,1.5666666666666667,-0.23051964905526906,0.5944444444444444
2021-03-15,1.5666666666666667,-0.23865845666991342,0.5944444444444444
2021-03-23,1.6,-0.2965027782652114,0.6277777777777778
2021-04-18,1.6,-0.29657196733686664,0.6277777777777778
2021-04-21,1.6333333333333333,-0.23020256857077281,0.5944444444444444
2021-04-23,1.6,-0.24067881968286303,0.6
2021-04-27,1.6666666666666667,-0.2552013398872482,0.6083333333333333
2021-05-02,1.6666666666666667,-0.25514718112018375,0.6083333333333333
2021-05-08,1.6666666666666667,-0.25908026711808313,0.6083333333333333
2021-05-12,1.6666666666666667,-0.25623302873637943,0.6083333333333333
2021-05-13,1.6333333333333333,-0.2312179239259826,0.5916666666666667
2021-05-14,1.6666666666666667,-0.23894439654217828,0.5916666666666667
2021-05-15,1.6666666666666667,-0.2676531356241968,0.6083333333333333
2021-05-16,1.6666666666666667,-0.2010431092646387,0.575
2021-05-23,1.6666666666666667,-0.13454484956132043,0.5416666666666666
2021-05-24,1.6666666666666667,-0.06842852450079388,0.5083333333333333
2021-05-30,1.6666666666666667,-0.10985731101698346,0.5305555555555556
2021-06-09,1.6333333333333333,-0.11592065708504785,0.5305555555555556
2021-06-11,1.6333333333333333,-0.11501532610919743,0.5305555555555556
2021-06-12,1.6333333333333333,-0.11503583606746462,0.5305555555555556
2021-06-15,1.6666666666666667,-0.08686189469363954,0.513888888888889
2021-06-27,1.8,-0.04591225600904889,0.49388888888888893
2021-06-28,1.8,-0.0784948221511311,0.5105555555555557
2021-07-02,1.8333333333333333,-0.07792385833130942,0.5105555555555557
