,open,high,low,close,volume,edit_count,sentiment,neg_sentiment,tomorrow,target
2017-11-09 00:00:00+00:00,1.0108699798583984,1.0132700204849243,0.9965149760246276,1.008180022239685,358188000,0.0,0.0,0.0,1.0060100555419922,0
2017-11-10 00:00:00+00:00,1.006500005722046,1.0242300033569336,0.99548602104187,1.0060100555419922,756446016,0.0,0.0,0.0,1.0089900493621826,1
2017-11-11 00:00:00+00:00,1.0059800148010254,1.0262099504470823,0.9957990050315856,1.0089900493621826,746227968,0.0,0.0,0.0,1.012470006942749,1
2017-11-12 00:00:00+00:00,1.006019949913025,1.1059099435806274,0.9676010012626648,1.012470006942749,1466060032,0.0,0.0,0.0,1.0093499422073364,0
2017-11-13 00:00:00+00:00,1.004480004310608,1.029289960861206,0.9751030206680298,1.0093499422073364,767884032,0.0,0.0,0.0,1.0068299770355225,0
2017-11-14 00:00:00+00:00,1.005239963531494,1.0134299993515017,0.9968979954719543,1.0068299770355225,429857984,0.0,0.0,0.0,1.0031800270080566,0
2017-11-15 00:00:00+00:00,1.004580020904541,1.0116300582885742,1.000249981880188,1.0031800270080566,449671008,0.0,0.0,0.0,1.002120018005371,0
2017-11-16 00:00:00+00:00,1.0058200359344482,1.010890007019043,0.993232011795044,1.002120018005371,650278976,0.0,0.0,0.0,1.001389980316162,0
2017-11-17 00:00:00+00:00,0.9957579970359802,1.0118099451065063,0.9957579970359802,1.001389980316162,639398016,0.0,0.0,0.0,1.002310037612915,1
2017-11-18 00:00:00+00:00,1.0006500482559204,1.009179949760437,0.9963399767875672,1.002310037612915,588136000,0.0,0.0,0.0,1.0024399757385254,1
2017-11-19 00:00:00+00:00,1.002369999885559,1.0074900388717651,0.9966930150985718,1.0024399757385254,485752992,0.0,0.0,0.0,1.0019199848175049,0
2017-11-20 00:00:00+00:00,1.0013799667358398,1.0029799938201904,0.996537983417511,1.0019199848175049,449595008,0.0,0.0,0.0,0.996047019958496,0
2017-11-21 00:00:00+00:00,1.003469944000244,1.011199951171875,0.9885720014572144,0.996047019958496,622649024,0.0,0.0,0.0,1.0001499652862549,1
2017-11-22 00:00:00+00:00,0.997426986694336,1.0033999681472778,0.9927889704704284,1.0001499652862549,499812000,0.0,0.0,0.0,0.9946309924125672,0
2017-11-23 00:00:00+00:00,0.998658001422882,1.0063400268554688,0.992238998413086,0.9946309924125672,735883008,0.0,0.0,0.0,1.00232994556427,1
2017-11-24 00:00:00+00:00,1.004140019416809,1.0071300268173218,0.9880040287971495,1.00232994556427,848627968,0.0,0.0,0.0,1.0054099559783936,1
2017-11-25 00:00:00+00:00,1.0023200511932373,1.0090700387954712,0.9950760006904602,1.0054099559783936,651987968,0.0,0.0,0.0,1.008679986000061,1
2017-11-26 00:00:00+00:00,1.0042200088500977,1.0174200534820557,1.0005600452423096,1.008679986000061,636451968,0.0,0.0,0.0,1.001289963722229,0
2017-11-27 00:00:00+00:00,1.006749987602234,1.020169973373413,0.9981259703636168,1.001289963722229,784436992,0.0,0.0,0.0,1.0001399517059326,0
2017-11-28 00:00:00+00:00,1.002869963645935,1.0064799785614014,0.9960479736328124,1.0001399517059326,794764032,0.0,0.0,0.0,0.9906060099601746,0
2017-11-29 00:00:00+00:00,1.0001300573349,1.048449993133545,0.9556180238723756,0.9906060099601746,1672120064,0.0,0.0,0.0,1.0081000328063965,1
2017-11-30 00:00:00+00:00,1.0038599967956543,1.0286699533462524,0.9893190264701844,1.0081000328063965,1043969984,0.0,0.0,0.0,1.0097800493240356,1
2017-12-01 00:00:00+00:00,1.007200002670288,1.0192099809646606,0.9930430054664612,1.0097800493240356,749395968,0.0,0.0,0.0,0.9996539950370787,0
2017-12-02 00:00:00+00:00,1.0089499950408936,1.0167700052261353,0.995611011981964,0.9996539950370787,679950016,0.0,0.0,0.0,1.0006599426269531,1
2017-12-03 00:00:00+00:00,1.0010199546813965,1.029539942741394,0.985319972038269,1.0006599426269531,946748992,0.0,0.0,0.0,1.0036699771881104,1
